,artist_name,track_name,track_id,popularity,like,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Rkomi,Mon Cheri (feat. Sfera Ebbasta),66UkKyxN5YbJl9z7YamQOR,76,0,0.316,0.887,181867,0.667,0.0,6,0.119,-5.681,0,0.0484,130.032,4,0.493
1,Priestess,Chef (feat. Madman),4QSLqqTFzsXR8MWfJeI3zq,58,0,0.277,0.944,176239,0.661,0.0,4,0.284,-5.643,0,0.0556,133.114,4,0.963
2,Capo Plaza,Billets (feat. Ninho),2aD5ESGyEhXnXdoOsZvsR0,73,0,0.298,0.732,198537,0.791,0.0,1,0.175,-5.642,1,0.191,123.101,4,0.609
3,Sfera Ebbasta,Mademoiselle,2aPnpV1hT7l3eP10uSGK6c,81,0,0.0671,0.794,189344,0.702,0.0,6,0.155,-5.656,0,0.0346,121.938,4,0.535
4,MamboLosco,BINGO,2fXOb3Dr8di7hbcKFbYNPt,69,0,0.158,0.796,150444,0.643,0.0,2,0.0561,-5.235,0,0.0354,128.057,4,0.609
5,Dark Polo Gang,Gang Shit (feat. Capo Plaza),7EkJMf7yOPU7wOK2FcryQg,70,0,0.133,0.86,200501,0.476,0.0,8,0.0837,-7.484,1,0.368,144.002,4,0.33
6,Luche,Stamm Fort (feat. Sfera Ebbasta),7hHf4gz7kGmkuwa6XMc88W,51,0,0.0983,0.78,171375,0.521,0.000125,0,0.0967,-5.094,1,0.123,160.087,4,0.643
7,Lazza,Netflix,0fxDNWvZeFqIxi0SFBDS6M,52,0,0.146,0.713,153827,0.716,0.0,10,0.105,-6.448,0,0.263,192.175,4,0.577
8,MamboLosco,Guarda Come Flexo 2,6PX2GtCt8YJzOQ4ulJM41k,69,0,0.061,0.843,178645,0.528,4.52e-05,1,0.0617,-8.722,1,0.0657,140.05,4,0.459
9,Gemitaiz,Giuro Che (feat. Priestess & Quentin40),0Pi8hOfhyPYQOg8PL6tcT9,68,0,0.162,0.841,202759,0.696,0.0,11,0.0808,-6.405,0,0.0858,145.005,4,0.601
10,Capo Plaza,Uno squillo,7zivIUyCw9MmYftdcayXnN,70,0,0.0586,0.801,208813,0.724,0.0,1,0.0736,-5.038,0,0.397,98.97,4,0.679
11,Sfera Ebbasta,Happy Birthday,7Cw97917dvg5xm6XMAA4Y2,74,0,0.0455,0.792,170707,0.777,5.34e-05,8,0.293,-4.402,0,0.0454,137.05,4,0.696
12,tha Supreme,oh 9od (feat. Nayt),0UuqwLM3UFmwcXSJgfFHvr,73,0,0.15,0.786,205594,0.483,4.32e-05,0,0.0903,-11.302,0,0.216,143.06,4,0.671
13,Gemitaiz,Toradol,3Rmv3h4ovgt9xVgWOfMlLx,70,0,0.00804,0.701,136118,0.623,0.013,2,0.498,-5.271,1,0.0493,158.891,4,0.471
14,Sfera Ebbasta,Popstar,1fIuF52zouQWN13q3X9FHk,68,0,0.311,0.832,183307,0.685,0.0,9,0.106,-6.333,1,0.0612,146.044,4,0.79
15,Capo Plaza,Ne è valsa la pena (feat. Ghali),6GTCOWvhjvdk4pwlfrSjNO,68,0,0.115,0.593,234600,0.654,0.0,5,0.231,-4.509,0,0.218,120.388,5,0.405
16,Vegas Jones,PELLE D'OCA,7BIoYqwZlcKosZr1ceAhuV,64,0,0.00158,0.633,160941,0.624,0.0,5,0.088,-7.006,0,0.191,170.228,3,0.338
17,Achille Lauro,Ulalala,2NTxalkIR7Yz1nl5iIFWAz,65,0,0.288,0.688,264971,0.656,0.0,0,0.12,-5.487,0,0.0757,111.043,4,0.57
18,Gue Pequeno,Borsello (feat. Sfera Ebbasta & DrefGold),6gAySqc7QK27KEASxmc7Ag,25,0,0.36,0.77,202827,0.584,0.0,2,0.208,-7.453,0,0.226,154.028,4,0.625
19,Capo Plaza,New Jeans,40r6Km96ILqSgaiLC0MunS,64,0,0.0637,0.642,159844,0.84,0.0,1,0.309,-5.047,0,0.0556,159.938,4,0.802
20,Lazza,Porto Cervo,0TAt3c8KXb1D3sWT8ENar8,68,0,0.2,0.855,235425,0.666,0.0,10,0.0885,-4.581,0,0.104,100.006,4,0.758
21,Vegas Jones,Malibu,2uEqIGEHBfrx41k2rWnBxG,65,0,0.0753,0.809,211519,0.544,0.0,0,0.0836,-7.319,0,0.227,125.876,4,0.284
